material_type,moisture_content,contamination_level,combustibility,calorific_value,rdf_score,rdf_suitable,rdf_grade
metal,2.18,1.02,0.25,0.26,0.4297,0,Low
cardboard,8.46,1.28,7.88,16.63,0.7927,1,High
organic,65.75,9.65,3.14,6.46,0.1912,0,Unsuitable
paper,16.59,0.15,8.85,15.71,0.7677,1,High
paper,17.91,3.02,8.19,13.17,0.6829,1,Medium
plastic,9.96,0.09,9.12,42.02,0.9908,1,High
metal,2.73,1.86,0.7,0.43,0.4108,0,Low
paper,6.92,0.97,7.01,14.78,0.7157,1,High
organic,46.64,6.16,3.61,6.84,0.3126,0,Unsuitable
glass,0.62,0.89,0.0,0.0,0.4611,1,Low
metal,4.71,2.85,0.41,0.33,0.4284,0,Low
glass,0.16,0.43,0.0,0.0,0.4658,1,Low
glass,1.76,2.66,0.0,0.0,0.4108,0,Low
cardboard,14.89,0.79,9.58,17.47,0.7302,1,High
paper,26.94,4.8,7.69,16.73,0.5038,1,Medium
cardboard,16.21,1.37,7.87,15.72,0.6809,1,Medium
plastic,4.97,5.33,9.26,38.34,0.764,1,High
paper,10.23,4.11,7.6,15.87,0.604,1,Medium
plastic,5.75,5.18,8.58,44.11,0.9062,1,High
organic,66.58,8.92,5.97,5.1,0.2573,0,Unsuitable
glass,3.72,1.36,0.0,0.0,0.3155,0,Unsuitable
metal,1.13,2.52,0.4,0.2,0.4644,1,Low
cardboard,14.83,3.22,9.69,15.21,0.5821,1,Medium
plastic,6.14,2.68,8.8,37.55,0.8048,1,High
plastic,5.01,2.83,9.64,41.93,0.8552,1,High
metal,4.27,0.46,0.58,0.14,0.5078,1,Medium
glass,1.19,2.01,0.0,0.0,0.3567,0,Low
plastic,8.76,5.92,9.75,32.65,0.808,1,High
plastic,0.32,2.36,9.74,41.02,0.9382,1,High
cardboard,21.25,2.84,8.41,17.68,0.7115,1,High
plastic,1.7,3.86,9.94,33.96,0.7299,1,High
cardboard,9.53,2.01,9.97,15.04,0.6463,1,Medium
organic,60.49,8.65,3.42,5.05,0.1774,0,Unsuitable
paper,24.62,0.68,8.18,16.57,0.6481,1,Medium
glass,1.49,1.67,0.0,0.0,0.4363,0,Low
glass,2.65,2.12,0.0,0.0,0.422,0,Low
paper,9.37,3.82,8.08,16.13,0.5543,1,Medium
glass,2.49,0.1,0.0,0.0,0.3763,0,Low
paper,7.02,4.41,9.39,16.48,0.7008,1,High
metal,2.63,1.96,0.92,0.05,0.3658,0,Low
glass,0.36,2.83,0.0,0.0,0.4122,0,Low
glass,0.81,2.4,0.0,0.0,0.3958,0,Low
organic,54.19,7.54,4.06,4.3,0.2518,0,Unsuitable
plastic,1.03,3.83,8.7,33.47,0.8079,1,High
cardboard,18.74,2.16,9.8,16.16,0.7594,1,High
glass,3.7,2.97,0.0,0.0,0.3779,0,Low
cardboard,12.07,2.72,9.31,17.99,0.7507,1,High
metal,2.98,0.36,0.24,0.16,0.4977,1,Low
cardboard,8.68,0.66,7.13,17.62,0.6338,1,Medium
plastic,0.28,3.35,8.57,39.55,0.7944,1,High
cardboard,23.47,1.15,9.04,15.16,0.615,1,Medium
organic,69.56,6.26,2.88,7.06,0.1278,0,Unsuitable
organic,48.88,6.16,3.85,7.13,0.3342,0,Unsuitable
plastic,6.5,1.62,8.74,30.73,0.7827,1,High
metal,2.16,1.31,0.25,0.1,0.4477,0,Low
organic,42.57,8.37,3.51,4.9,0.2281,0,Unsuitable
paper,25.38,1.6,9.27,16.76,0.6258,1,Medium
organic,69.91,6.21,3.66,5.63,0.2521,0,Unsuitable
plastic,1.04,2.49,8.25,36.57,0.791,1,High
paper,5.91,3.11,8.37,13.08,0.5676,1,Medium
organic,48.67,4.92,3.61,5.65,0.3149,0,Unsuitable
cardboard,6.87,2.2,7.99,16.65,0.5939,1,Medium
cardboard,5.48,3.77,7.32,15.38,0.6153,1,Medium
organic,64.71,7.27,5.95,3.44,0.2965,0,Unsuitable
organic,48.16,7.36,3.68,4.92,0.291,0,Unsuitable
paper,29.93,1.9,8.95,16.87,0.6549,1,Medium
cardboard,23.46,2.27,9.11,15.45,0.6,1,Medium
cardboard,14.12,0.62,7.73,17.56,0.6939,1,Medium
glass,3.54,3.0,0.0,0.0,0.362,0,Low
metal,2.95,2.05,0.59,0.18,0.3586,0,Low
cardboard,16.89,0.83,8.69,17.65,0.7173,1,High
glass,1.61,0.26,0.0,0.0,0.3277,0,Unsuitable
plastic,2.22,4.89,8.34,34.54,0.7901,1,High
cardboard,20.97,3.83,9.63,15.46,0.6436,1,Medium
paper,8.7,4.57,8.55,14.35,0.6328,1,Medium
metal,1.24,2.74,0.8,0.48,0.3504,0,Low
cardboard,16.84,1.03,8.63,15.96,0.6428,1,Medium
cardboard,8.67,1.88,8.95,15.38,0.7386,1,High
metal,2.53,2.46,0.65,0.36,0.5031,1,Medium
metal,3.07,0.83,0.1,0.3,0.5196,1,Medium
organic,49.65,3.42,4.2,3.8,0.2755,0,Unsuitable
metal,4.11,0.93,0.55,0.28,0.3642,0,Low
glass,3.28,0.63,0.0,0.0,0.48,1,Low
metal,1.22,2.24,0.08,0.39,0.3685,0,Low
metal,0.55,0.24,0.75,0.15,0.453,1,Low
plastic,6.98,1.67,9.42,45.17,0.8683,1,High
glass,1.63,0.7,0.0,0.0,0.3244,0,Unsuitable
cardboard,11.28,0.57,7.8,17.58,0.6298,1,Medium
metal,1.89,2.37,0.06,0.13,0.319,0,Unsuitable
cardboard,19.12,2.47,7.01,15.55,0.5968,1,Medium
organic,55.19,9.47,5.06,5.24,0.1899,0,Unsuitable
paper,27.97,1.24,9.66,13.39,0.623,1,Medium
metal,3.91,1.84,0.5,0.31,0.4237,0,Low
organic,50.8,7.18,3.77,4.22,0.2521,0,Unsuitable
paper,14.35,2.23,8.23,13.73,0.7461,1,High
cardboard,5.33,3.86,9.45,17.17,0.5984,1,Medium
plastic,9.07,2.02,9.22,39.74,0.8545,1,High
paper,7.85,3.3,9.34,16.04,0.7178,1,High
paper,10.13,2.27,8.64,16.68,0.5704,1,Medium
plastic,4.65,0.28,8.17,36.24,0.8695,1,High
organic,78.13,4.37,5.84,6.8,0.282,0,Unsuitable
cardboard,11.63,2.59,7.56,17.81,0.6556,1,Medium
glass,1.28,2.13,0.0,0.0,0.3974,0,Low
cardboard,18.47,1.08,7.82,15.49,0.671,1,Medium
cardboard,11.63,1.82,7.57,15.58,0.6021,1,Medium
paper,22.22,4.72,8.28,16.6,0.5445,1,Medium
cardboard,5.86,2.89,9.28,17.53,0.7015,1,High
cardboard,12.53,1.21,7.52,17.99,0.6316,1,Medium
glass,4.14,1.92,0.0,0.0,0.4621,1,Low
paper,5.02,2.99,8.06,13.5,0.615,1,Medium
paper,13.29,0.35,7.17,16.66,0.7086,1,High
glass,4.82,0.43,0.0,0.0,0.3931,0,Low
organic,43.85,4.32,2.31,6.02,0.3849,0,Low
metal,3.55,2.95,0.68,0.02,0.4326,0,Low
glass,1.82,0.01,0.0,0.0,0.4506,1,Low
glass,0.87,0.17,0.0,0.0,0.4828,1,Low
plastic,1.43,1.73,8.39,30.43,0.769,1,High
plastic,6.48,2.33,9.11,31.51,0.8172,1,High
glass,4.66,2.28,0.0,0.0,0.4082,0,Low
metal,2.08,0.01,0.06,0.05,0.3887,0,Low
organic,54.07,7.91,5.16,5.95,0.2619,0,Unsuitable
organic,54.19,3.09,3.12,4.65,0.3353,0,Unsuitable
glass,4.06,2.28,0.0,0.0,0.4052,0,Low
organic,47.79,7.54,3.93,5.2,0.4017,0,Low
glass,2.59,0.3,0.0,0.0,0.4632,1,Low
paper,13.88,1.61,9.69,15.25,0.6534,1,Medium
paper,12.5,0.57,8.67,14.38,0.7311,1,High
metal,2.36,2.91,0.55,0.14,0.4278,0,Low
organic,41.49,8.63,2.41,4.54,0.2587,0,Unsuitable
paper,6.98,3.48,7.22,14.91,0.5482,1,Medium
cardboard,9.56,0.76,9.29,17.85,0.7209,1,High
organic,63.79,7.49,4.84,6.52,0.2185,0,Unsuitable
organic,59.34,6.73,3.3,3.53,0.2055,0,Unsuitable
plastic,2.76,0.57,8.38,40.22,0.9007,1,High
cardboard,13.42,0.36,8.3,16.06,0.6232,1,Medium
glass,2.46,1.46,0.0,0.0,0.33,0,Unsuitable
metal,2.4,0.08,0.94,0.16,0.4579,1,Low
organic,68.75,3.33,2.25,3.13,0.3128,0,Unsuitable
organic,42.86,9.53,5.75,5.73,0.3388,0,Unsuitable
plastic,0.64,4.42,8.2,31.37,0.7752,1,High
paper,5.31,2.17,9.12,16.21,0.6283,1,Medium
paper,15.16,4.24,8.52,13.89,0.6421,1,Medium
organic,51.0,3.18,2.97,4.83,0.2793,0,Unsuitable
plastic,8.83,1.75,9.04,35.44,0.8133,1,High
metal,0.79,0.31,0.5,0.34,0.413,0,Low
cardboard,20.48,1.57,7.1,15.35,0.5567,1,Medium
metal,1.64,1.49,0.36,0.28,0.5116,1,Medium
metal,3.33,0.95,0.35,0.29,0.3617,0,Low
glass,1.57,0.99,0.0,0.0,0.4391,0,Low
plastic,8.93,0.22,9.71,32.61,0.857,1,High
plastic,4.24,0.06,9.83,37.28,0.9628,1,High
cardboard,22.33,3.69,8.67,15.61,0.5482,1,Medium
paper,18.72,4.72,8.32,14.07,0.5774,1,Medium
plastic,9.74,0.17,9.48,44.83,0.9856,1,High
glass,0.55,2.08,0.0,0.0,0.4523,1,Low
plastic,9.07,5.27,9.63,38.25,0.8008,1,High
metal,2.53,0.3,0.66,0.07,0.4357,0,Low
metal,1.5,0.7,0.62,0.39,0.485,1,Low
cardboard,22.01,3.44,8.03,16.98,0.6149,1,Medium
plastic,5.29,0.52,9.76,44.79,1.0,1,High
cardboard,16.25,2.23,9.95,15.74,0.7365,1,High
cardboard,11.58,1.29,7.02,16.79,0.667,1,Medium
metal,0.94,0.12,0.36,0.44,0.4411,0,Low
cardboard,20.13,1.31,9.46,17.08,0.6509,1,Medium
glass,0.0,0.11,0.0,0.0,0.3996,0,Low
paper,5.51,3.96,8.35,16.16,0.6399,1,Medium
organic,51.53,8.26,5.17,6.1,0.2481,0,Unsuitable
plastic,9.67,2.64,8.89,38.84,0.8705,1,High
paper,18.82,2.16,9.48,16.64,0.6841,1,Medium
paper,16.05,3.53,9.51,15.25,0.6711,1,Medium
metal,3.75,2.03,0.75,0.1,0.4114,0,Low
organic,64.4,3.9,5.27,6.59,0.3294,0,Unsuitable
organic,55.68,8.98,3.66,5.85,0.2145,0,Unsuitable
metal,3.59,1.7,0.5,0.4,0.4368,0,Low
metal,1.39,2.88,0.71,0.49,0.4762,1,Low
plastic,7.55,3.66,8.34,38.69,0.8196,1,High
organic,60.83,9.08,2.44,4.9,0.1676,0,Unsuitable
organic,44.34,4.07,5.35,5.42,0.3513,0,Low
plastic,0.16,2.84,8.33,41.28,0.9094,1,High
metal,2.96,0.46,0.3,0.44,0.4795,1,Low
paper,27.15,1.13,7.99,14.88,0.6403,1,Medium
organic,44.58,8.96,5.45,5.77,0.2071,0,Unsuitable
organic,60.77,5.05,5.2,5.49,0.3354,0,Unsuitable
metal,2.57,2.13,0.5,0.45,0.4573,1,Low
metal,4.87,2.44,0.86,0.24,0.4418,0,Low
paper,24.05,0.7,7.92,14.78,0.6176,1,Medium
paper,14.68,4.1,7.77,15.98,0.6531,1,Medium
cardboard,20.84,1.61,9.17,17.75,0.6116,1,Medium
glass,1.95,1.45,0.0,0.0,0.4421,0,Low
cardboard,21.12,0.35,7.13,17.99,0.6745,1,Medium
paper,15.96,1.43,7.39,15.0,0.6663,1,Medium
plastic,0.04,0.86,8.49,33.18,0.9334,1,High
organic,66.24,5.29,4.46,7.45,0.3611,0,Low
metal,1.83,0.48,0.32,0.48,0.4917,1,Low
glass,1.39,1.35,0.0,0.0,0.4362,0,Low
glass,3.36,1.93,0.0,0.0,0.4534,1,Low
organic,63.95,5.91,4.36,3.31,0.2959,0,Unsuitable
cardboard,21.09,2.14,7.83,15.09,0.6418,1,Medium
paper,9.41,0.26,9.27,14.4,0.7018,1,High
paper,26.48,1.49,7.63,14.24,0.641,1,Medium
paper,12.94,0.41,7.48,14.67,0.6601,1,Medium
metal,1.06,2.73,0.89,0.34,0.3457,0,Unsuitable
cardboard,13.4,0.84,7.39,16.14,0.6772,1,Medium
organic,64.43,5.07,3.38,6.95,0.2653,0,Unsuitable
plastic,3.22,3.43,8.56,30.85,0.9019,1,High
cardboard,13.51,1.95,7.55,15.28,0.7571,1,High
paper,28.81,3.08,8.14,13.16,0.4791,1,Low
metal,2.71,2.26,0.42,0.15,0.377,0,Low
cardboard,5.5,1.72,9.65,15.73,0.7542,1,High
organic,42.43,4.07,3.33,6.35,0.3194,0,Unsuitable
glass,3.67,2.6,0.0,0.0,0.3888,0,Low
organic,73.29,8.11,5.21,7.67,0.1886,0,Unsuitable
organic,65.53,6.6,5.4,5.16,0.3273,0,Unsuitable
glass,4.81,0.75,0.0,0.0,0.3877,0,Low
glass,4.53,1.72,0.0,0.0,0.4698,1,Low
paper,23.12,3.98,8.32,13.84,0.6012,1,Medium
paper,26.41,2.55,7.27,15.87,0.5827,1,Medium
organic,52.38,4.4,2.34,5.56,0.2082,0,Unsuitable
organic,70.05,6.25,3.38,4.31,0.2307,0,Unsuitable
cardboard,8.3,3.95,7.98,15.27,0.5684,1,Medium
organic,42.34,8.53,4.05,4.68,0.2918,0,Unsuitable
paper,28.5,4.81,9.04,16.27,0.5908,1,Medium
metal,2.46,2.11,0.08,0.38,0.3076,0,Unsuitable
metal,4.18,2.8,0.23,0.26,0.3344,0,Unsuitable
cardboard,24.2,0.51,8.05,17.09,0.6161,1,Medium
glass,0.12,0.46,0.0,0.0,0.4265,0,Low
paper,24.46,2.08,7.82,13.06,0.5487,1,Medium
cardboard,8.56,0.08,7.47,17.0,0.7027,1,High
paper,28.39,3.99,8.7,13.55,0.628,1,Medium
paper,15.77,1.95,8.28,14.12,0.6699,1,Medium
cardboard,21.82,3.07,8.88,16.62,0.6,1,Medium
metal,2.72,0.81,0.33,0.47,0.3499,0,Unsuitable
glass,2.38,1.86,0.0,0.0,0.4503,1,Low
cardboard,18.71,0.16,9.39,15.85,0.7345,1,High
plastic,6.43,3.92,9.22,45.35,0.871,1,High
plastic,7.05,1.42,8.57,36.78,0.866,1,High
glass,1.83,1.17,0.0,0.0,0.4431,0,Low
cardboard,19.12,0.33,8.41,15.08,0.694,1,Medium
plastic,3.44,5.7,8.65,39.02,0.7917,1,High
cardboard,14.34,1.48,7.61,15.33,0.7357,1,High
metal,5.0,1.24,0.0,0.48,0.3887,0,Low
glass,3.59,2.74,0.0,0.0,0.3754,0,Low
plastic,9.87,5.1,9.86,34.08,0.7577,1,High
organic,60.63,6.66,5.7,6.1,0.2461,0,Unsuitable
metal,2.0,0.4,0.19,0.07,0.4249,0,Low
glass,2.65,1.12,0.0,0.0,0.4161,0,Low
glass,2.74,2.46,0.0,0.0,0.4539,1,Low
paper,14.9,1.52,8.56,15.18,0.6711,1,Medium
plastic,4.31,1.31,9.73,35.54,0.8666,1,High
cardboard,16.2,2.15,9.49,15.42,0.6475,1,Medium
paper,18.29,2.93,8.53,13.14,0.6974,1,Medium
cardboard,11.85,2.6,8.49,15.28,0.6066,1,Medium
paper,9.64,0.95,8.82,13.71,0.6862,1,Medium
paper,7.28,4.38,7.89,14.7,0.5485,1,Medium
paper,28.61,3.57,7.21,15.37,0.4956,1,Low
cardboard,7.12,1.58,7.95,15.39,0.6208,1,Medium
organic,50.95,5.41,2.36,5.49,0.2513,0,Unsuitable
paper,8.58,4.77,7.43,15.09,0.6616,1,Medium
plastic,0.76,1.21,8.11,32.23,0.7817,1,High
organic,43.49,6.09,4.32,4.17,0.1936,0,Unsuitable
metal,0.36,0.66,0.47,0.5,0.5383,1,Medium
organic,56.92,3.56,3.29,4.19,0.287,0,Unsuitable
organic,43.81,6.17,3.36,3.9,0.2345,0,Unsuitable
paper,26.3,1.2,8.62,13.74,0.5087,1,Medium
plastic,1.52,0.97,9.22,34.22,0.8905,1,High
paper,6.08,2.83,8.64,14.0,0.6984,1,Medium
organic,43.51,8.05,2.89,3.97,0.1882,0,Unsuitable
plastic,7.96,5.68,9.3,40.61,0.8665,1,High
organic,76.21,6.58,3.42,6.2,0.1807,0,Unsuitable
glass,1.96,0.94,0.0,0.0,0.4905,1,Low
cardboard,13.85,3.01,7.41,17.77,0.749,1,High
metal,1.21,0.8,0.37,0.36,0.4024,0,Low
paper,21.73,2.74,8.35,16.31,0.6854,1,Medium
paper,28.84,1.98,9.4,16.87,0.5845,1,Medium
paper,9.04,2.93,7.36,16.16,0.6449,1,Medium
glass,4.55,0.54,0.0,0.0,0.4621,1,Low
glass,0.87,0.09,0.0,0.0,0.3771,0,Low
cardboard,14.01,1.48,7.82,17.19,0.6185,1,Medium
cardboard,15.8,3.69,8.62,16.85,0.6574,1,Medium
glass,0.5,2.29,0.0,0.0,0.4152,0,Low
paper,13.08,2.96,8.87,15.75,0.6318,1,Medium
plastic,6.59,3.36,8.61,44.52,0.886,1,High
paper,22.8,3.64,9.75,15.07,0.691,1,Medium
metal,3.85,1.5,0.77,0.13,0.3565,0,Low
glass,4.33,0.95,0.0,0.0,0.4491,0,Low
metal,1.93,2.99,0.15,0.26,0.419,0,Low
organic,71.94,9.36,4.92,6.13,0.1485,0,Unsuitable
cardboard,15.19,0.08,8.51,17.57,0.6566,1,Medium
metal,3.98,1.17,0.53,0.02,0.4279,0,Low
metal,1.28,0.09,0.69,0.22,0.4784,1,Low
plastic,2.5,3.23,8.88,37.58,0.8706,1,High
cardboard,23.15,0.28,8.35,15.62,0.6669,1,Medium
cardboard,10.6,3.44,8.19,16.92,0.5298,1,Medium
glass,2.02,1.61,0.0,0.0,0.3703,0,Low
cardboard,24.91,1.18,9.37,16.67,0.7181,1,High
metal,3.27,2.7,0.73,0.06,0.3599,0,Low
organic,59.37,9.43,5.23,3.52,0.2102,0,Unsuitable
paper,17.33,0.4,9.17,15.21,0.7278,1,High
cardboard,10.6,2.08,7.35,17.65,0.6178,1,Medium
organic,48.2,8.64,2.42,6.07,0.2946,0,Unsuitable
cardboard,20.02,0.76,7.18,16.35,0.6677,1,Medium
glass,1.78,1.35,0.0,0.0,0.3808,0,Low
glass,3.39,0.21,0.0,0.0,0.4725,1,Low
paper,13.36,0.76,7.66,16.49,0.7224,1,High
cardboard,8.53,2.23,7.77,17.93,0.6401,1,Medium
plastic,7.73,0.4,8.34,36.15,1.0,1,High
glass,3.28,2.35,0.0,0.0,0.3975,0,Low
metal,1.32,2.56,0.02,0.1,0.4146,0,Low
glass,1.7,0.45,0.0,0.0,0.5026,1,Medium
glass,0.15,1.4,0.0,0.0,0.3543,0,Low
cardboard,22.75,1.13,9.45,17.06,0.6703,1,Medium
paper,25.39,3.97,9.27,16.99,0.5619,1,Medium
plastic,8.07,5.17,8.42,30.67,0.74,1,High
organic,51.56,7.9,2.03,4.78,0.3256,0,Unsuitable
organic,45.19,9.28,2.63,7.55,0.1968,0,Unsuitable
metal,3.02,0.25,0.07,0.04,0.501,1,Medium
organic,72.38,5.82,3.78,5.95,0.2441,0,Unsuitable
paper,16.79,3.57,9.99,14.4,0.6227,1,Medium
glass,0.63,1.66,0.0,0.0,0.4165,0,Low
cardboard,20.96,1.03,9.46,15.01,0.7362,1,High
metal,4.67,2.36,0.85,0.2,0.4879,1,Low
organic,64.74,3.41,2.81,5.75,0.2992,0,Unsuitable
metal,3.71,2.52,0.92,0.05,0.442,0,Low
paper,16.85,4.2,7.21,13.07,0.5683,1,Medium
cardboard,15.23,3.25,7.38,15.37,0.5461,1,Medium
cardboard,19.6,3.8,9.3,17.63,0.6436,1,Medium
paper,25.81,0.91,7.21,15.62,0.5924,1,Medium
plastic,6.92,5.71,8.63,37.78,0.83,1,High
organic,49.71,6.79,4.64,7.89,0.2883,0,Unsuitable
plastic,5.89,0.88,8.86,34.54,0.912,1,High
plastic,5.12,0.99,9.18,32.72,0.9389,1,High
glass,4.48,0.08,0.0,0.0,0.3865,0,Low
paper,16.79,4.21,9.75,14.21,0.5959,1,Medium
glass,2.91,0.6,0.0,0.0,0.4068,0,Low
glass,1.8,1.32,0.0,0.0,0.4406,0,Low
organic,71.92,8.23,2.08,4.37,0.1903,0,Unsuitable
glass,2.98,2.76,0.0,0.0,0.3985,0,Low
plastic,0.52,4.45,8.3,34.11,0.787,1,High
plastic,0.14,0.01,9.02,34.88,0.868,1,High
metal,1.14,1.78,0.38,0.09,0.425,0,Low
metal,1.18,0.09,0.31,0.45,0.4825,1,Low
cardboard,16.52,2.27,9.49,15.71,0.6911,1,Medium
plastic,3.02,0.25,8.63,44.05,0.9309,1,High
metal,2.29,1.14,0.49,0.28,0.4498,0,Low
cardboard,21.84,3.89,8.96,16.98,0.6023,1,Medium
paper,8.72,2.92,7.13,16.3,0.6732,1,Medium
plastic,4.15,1.96,9.94,32.8,0.8631,1,High
metal,3.29,2.98,0.24,0.45,0.3794,0,Low
cardboard,17.96,0.16,8.49,16.96,0.6326,1,Medium
organic,73.14,9.79,3.84,6.18,0.1258,0,Unsuitable
paper,11.04,4.32,7.84,16.1,0.5738,1,Medium
glass,2.67,1.57,0.0,0.0,0.49,1,Low
paper,11.78,1.79,8.44,14.98,0.602,1,Medium
cardboard,5.38,1.82,8.85,16.38,0.6961,1,Medium
glass,1.99,1.23,0.0,0.0,0.4826,1,Low
glass,2.58,2.63,0.0,0.0,0.3825,0,Low
metal,2.16,0.9,0.76,0.12,0.5033,1,Medium
metal,3.87,2.55,0.73,0.28,0.3326,0,Unsuitable
plastic,6.81,1.41,9.1,42.33,0.8352,1,High
metal,2.41,1.51,0.09,0.33,0.4355,0,Low
metal,1.83,0.15,0.03,0.49,0.3758,0,Low
cardboard,10.5,3.92,7.76,17.18,0.6297,1,Medium
plastic,0.7,4.1,8.0,40.81,0.8367,1,High
cardboard,20.4,2.9,7.07,17.11,0.7235,1,High
glass,1.21,0.82,0.0,0.0,0.4488,0,Low
organic,41.49,6.88,4.3,4.52,0.3027,0,Unsuitable
glass,0.81,1.09,0.0,0.0,0.3881,0,Low
organic,59.57,3.53,4.71,6.95,0.3146,0,Unsuitable
cardboard,24.63,2.69,9.31,16.52,0.6527,1,Medium
cardboard,22.67,0.94,8.49,17.19,0.6823,1,Medium
metal,1.06,2.93,0.43,0.09,0.3489,0,Unsuitable
cardboard,17.46,3.69,9.96,16.96,0.6248,1,Medium
plastic,3.22,5.14,8.44,31.7,0.712,1,High
cardboard,11.07,2.7,8.4,15.97,0.6378,1,Medium
organic,45.44,6.85,3.79,5.56,0.3369,0,Unsuitable
metal,3.19,2.7,0.11,0.31,0.4299,0,Low
organic,53.24,4.37,3.06,4.36,0.3427,0,Unsuitable
metal,1.36,1.95,0.05,0.17,0.4546,1,Low
paper,9.4,1.1,7.6,13.0,0.6678,1,Medium
plastic,2.73,5.97,9.84,33.44,0.7869,1,High
cardboard,14.27,3.38,9.41,15.38,0.5083,1,Medium
glass,4.41,0.32,0.0,0.0,0.3954,0,Low
organic,76.66,6.18,2.33,5.9,0.2014,0,Unsuitable
metal,1.7,2.62,0.27,0.08,0.3616,0,Low
glass,0.17,0.84,0.0,0.0,0.2789,0,Unsuitable
plastic,0.78,5.25,9.89,30.74,0.7692,1,High
cardboard,19.74,3.99,8.04,15.86,0.612,1,Medium
plastic,7.29,2.83,8.49,41.63,0.8952,1,High
organic,56.0,7.68,3.6,5.39,0.2197,0,Unsuitable
organic,79.1,6.11,3.37,4.87,0.176,0,Unsuitable
glass,1.48,0.26,0.0,0.0,0.478,1,Low
paper,27.53,2.83,7.58,14.38,0.6054,1,Medium
metal,2.53,0.45,0.45,0.27,0.4537,1,Low
organic,42.81,5.36,5.22,4.3,0.4457,0,Low
metal,2.05,0.95,0.92,0.17,0.3036,0,Unsuitable
organic,69.84,7.77,2.2,3.66,0.1515,0,Unsuitable
organic,48.38,4.58,5.12,4.43,0.3826,0,Low
paper,16.08,3.09,9.61,13.44,0.5736,1,Medium
cardboard,15.6,1.46,8.45,17.77,0.6527,1,Medium
plastic,9.89,0.39,9.86,38.03,0.8958,1,High
plastic,9.22,3.04,8.88,34.36,0.7875,1,High
cardboard,9.29,2.84,8.93,16.19,0.6619,1,Medium
metal,2.23,0.02,0.07,0.22,0.3647,0,Low
glass,3.28,0.93,0.0,0.0,0.4865,1,Low
paper,29.17,4.34,7.96,16.0,0.5478,1,Medium
cardboard,14.82,0.07,7.82,17.87,0.7138,1,High
glass,0.91,0.56,0.0,0.0,0.441,0,Low
metal,1.04,0.14,0.46,0.41,0.3813,0,Low
plastic,4.09,3.57,8.87,39.26,0.8553,1,High
paper,17.69,4.7,8.28,13.06,0.6197,1,Medium
glass,2.5,1.62,0.0,0.0,0.4232,0,Low
plastic,7.04,2.47,8.8,32.86,0.8324,1,High
metal,3.93,2.73,0.59,0.15,0.367,0,Low
metal,1.66,2.48,0.07,0.01,0.2595,0,Unsuitable
glass,0.78,2.64,0.0,0.0,0.4513,1,Low
paper,12.54,0.69,8.97,13.55,0.6649,1,Medium
plastic,2.02,4.39,9.61,32.01,0.7526,1,High
cardboard,14.26,2.52,7.07,15.84,0.6117,1,Medium
organic,75.45,4.9,5.1,6.31,0.2047,0,Unsuitable
metal,1.19,1.33,0.64,0.22,0.3626,0,Low
paper,22.4,2.92,8.56,15.22,0.5592,1,Medium
metal,1.94,1.09,0.15,0.3,0.4877,1,Low
glass,1.7,2.58,0.0,0.0,0.4731,1,Low
organic,79.99,4.58,3.12,5.21,0.1988,0,Unsuitable
plastic,6.92,2.89,8.44,38.1,0.831,1,High
glass,2.49,0.87,0.0,0.0,0.3471,0,Unsuitable
glass,2.86,2.64,0.0,0.0,0.302,0,Unsuitable
glass,2.33,1.16,0.0,0.0,0.437,0,Low
cardboard,19.98,2.67,9.76,16.22,0.6541,1,Medium
glass,4.4,1.42,0.0,0.0,0.5066,1,Medium
paper,22.92,1.43,9.27,15.52,0.6339,1,Medium
paper,20.78,0.77,8.09,15.9,0.6451,1,Medium
paper,9.7,4.29,7.16,15.38,0.6676,1,Medium
organic,72.03,7.17,5.13,6.28,0.2962,0,Unsuitable
metal,1.14,2.23,0.24,0.49,0.3698,0,Low
organic,74.35,4.7,3.44,6.57,0.2627,0,Unsuitable
paper,8.98,2.43,7.73,13.94,0.6319,1,Medium
cardboard,11.37,0.12,8.86,16.88,0.7016,1,High
plastic,3.17,5.24,9.16,36.59,0.8576,1,High
metal,4.06,2.74,0.91,0.11,0.4313,0,Low
paper,9.02,1.54,8.0,15.53,0.6243,1,Medium
paper,7.58,0.03,9.56,15.82,0.6697,1,Medium
organic,63.82,4.56,2.67,5.36,0.2824,0,Unsuitable
metal,1.09,1.99,0.77,0.08,0.4089,0,Low
metal,2.2,2.32,0.65,0.35,0.4038,0,Low
paper,18.29,1.02,9.18,13.79,0.6181,1,Medium
paper,17.66,2.43,8.8,14.75,0.6121,1,Medium
plastic,8.79,3.78,9.27,39.75,0.8968,1,High
organic,52.88,7.14,2.1,3.04,0.1682,0,Unsuitable
cardboard,15.5,2.46,7.59,17.69,0.5524,1,Medium
cardboard,22.69,3.05,7.72,15.45,0.6315,1,Medium
metal,1.23,3.0,0.23,0.42,0.4101,0,Low
plastic,9.8,1.35,8.84,38.94,0.952,1,High
metal,1.37,1.65,0.55,0.3,0.461,1,Low
glass,0.84,0.48,0.0,0.0,0.3998,0,Low
paper,20.59,1.79,7.83,15.01,0.6629,1,Medium
metal,1.72,1.36,0.51,0.49,0.4875,1,Low
plastic,1.5,2.1,9.43,32.79,0.8084,1,High
plastic,4.17,0.31,9.87,36.62,0.913,1,High
organic,77.49,5.03,3.65,6.79,0.1612,0,Unsuitable
plastic,3.64,5.97,9.11,41.03,0.8211,1,High
